#,"./SRR14530610_trimmed.bam","./SRR14530611_trimmed.bam","./SRR14530612_trimmed.bam","./SRR14530613_trimmed.bam","./SRR14530614_trimmed.bam","./SRR14530615_trimmed.bam","./SRR14530616_trimmed.bam","./SRR14530617_trimmed.bam"
Geneid,./SRR14530610_trimmed.bam,./SRR14530611_trimmed.bam,./SRR14530612_trimmed.bam,./SRR14530613_trimmed.bam,./SRR14530614_trimmed.bam,./SRR14530615_trimmed.bam,./SRR14530616_trimmed.bam,./SRR14530617_trimmed.bam
ENSG00000272482,0,0,1,0,0,0,0,0
ENSG00000284747,11,0,3,4,18,0,6,5
ENSG00000215912,41,1,30,29,23,0,48,13
ENSG00000120952,15,0,2,0,13,0,6,0
ENSG00000243073,26,0,8,4,17,0,6,4
ENSG00000142615,8,0,2,0,2,0,3,6
ENSG00000215704,9,0,9,24,6,0,12,21
ENSG00000157916,374,165,1155,66,552,65,214,384
ENSG00000157881,157,1,378,20,334,14,109,120
ENSG00000116213,87,2,185,51,148,0,57,77
ENSG00000283611,6,0,4,0,13,0,8,1
ENSG00000238290,7,0,1,0,7,0,11,1
ENSG00000225387,6,0,1,0,0,0,1,0
ENSG00000048707,876,380,1484,596,1827,474,388,822
ENSG00000158748,10,0,18,15,12,0,22,6
ENSG00000235643,8,0,2,0,0,0,4,0
ENSG00000225196,0,0,0,0,0,0,0,0
ENSG00000130762,22,0,3,1,6,0,33,5
ENSG00000162444,21,0,169,0,12,0,18,68
ENSG00000279169,0,0,0,24,0,0,1,0
ENSG00000279625,6,0,1,20,6,0,7,0
ENSG00000180758,10,0,35,23,19,0,13,11
ENSG00000231219,1,0,0,0,0,0,0,0
ENSG00000184677,335,96,792,92,889,285,244,399
ENSG00000230679,1,0,0,0,5,0,0,0
ENSG00000270136,4,0,0,0,0,0,4,0
ENSG00000132879,40,0,78,0,102,0,36,34
ENSG00000187545,4,0,0,0,8,0,7,1
ENSG00000288398,41,0,80,0,66,9,56,76
ENSG00000224621,0,0,0,0,4,0,5,0
ENSG00000239810,17,0,3,12,4,0,23,1
ENSG00000285833,0,0,0,0,1,0,0,0
ENSG00000116721,9,0,2,26,9,0,15,3
ENSG00000215785,1,0,0,0,5,0,1,1
ENSG00000131697,71,283,83,218,110,0,106,64
ENSG00000284692,0,0,0,0,4,0,6,0
ENSG00000284745,3,0,0,17,0,0,4,1
ENSG00000280222,20,0,1,18,23,0,30,5
ENSG00000188807,26,2,55,17,52,0,40,12
ENSG00000227634,6,290,0,0,1,0,16,0
ENSG00000198793,531,713,1136,269,1103,157,285,408
ENSG00000078900,13,0,4,0,8,0,22,16
ENSG00000285945,0,0,1,29,0,0,2,0
ENSG00000171819,32,0,5,17,41,0,20,11
ENSG00000229162,1,0,11,44,18,0,7,5
ENSG00000197921,0,0,0,0,0,0,0,0
ENSG00000233755,14,0,5,11,8,0,2,1
ENSG00000116288,85,5,340,112,104,482,62,120
ENSG00000238164,91,64,255,5,191,0,42,90
ENSG00000233929,1,0,2,0,14,0,3,2
ENSG00000271742,0,0,2,0,0,0,0,0
ENSG00000226396,0,0,4,0,6,0,8,6
ENSG00000232423,6,0,3,2,2,0,3,0
ENSG00000229247,0,0,0,0,0,0,0,0
ENSG00000169504,20,110,156,202,53,1091,18,99
ENSG00000224311,0,0,2,0,0,0,3,1
ENSG00000225159,4,2,4,1,6,0,10,5
ENSG00000272088,3,0,1,3,6,0,0,1
ENSG00000228338,1,0,0,0,1,0,7,4
ENSG00000181773,11,0,18,0,26,0,12,10
ENSG00000241547,6,0,7,71,8,1,11,16
ENSG00000224129,3,0,0,0,11,0,7,1
ENSG00000234166,0,0,0,0,0,0,0,0
ENSG00000237436,0,0,4,29,2,0,1,1
ENSG00000174950,13,0,0,0,11,0,13,2
ENSG00000235282,1,0,1,0,0,0,1,0
ENSG00000055070,238,5,693,76,351,173,213,659
ENSG00000175087,14,0,64,58,41,0,14,36
ENSG00000171735,55,3,93,27,77,191,70,91
ENSG00000157191,305,166,845,212,522,178,270,379
ENSG00000284699,2,0,4,0,0,0,8,0
ENSG00000229985,4,0,0,0,0,0,4,0
ENSG00000230035,6,0,0,0,0,0,3,0
ENSG00000235185,0,0,3,0,0,0,0,0
ENSG00000236782,11,0,3,0,10,0,13,4
ENSG00000116663,46,0,85,0,54,0,55,43
ENSG00000225643,7,0,5,0,10,0,4,3
ENSG00000284666,1,0,0,99,9,0,5,0
ENSG00000243659,2,0,4,0,0,0,3,0
ENSG00000228943,3,0,3,0,0,0,0,5
ENSG00000232848,3,0,0,0,1,0,5,1
ENSG00000234397,1,0,0,0,0,0,4,0
ENSG00000284309,2,0,0,0,0,0,1,0
ENSG00000269925,6,0,4,0,13,0,2,8
ENSG00000162511,7496,972,38708,5207,9444,951,7994,13913
ENSG00000158014,6,0,3,0,0,0,17,0
ENSG00000204138,154,62,449,63,227,0,111,177
ENSG00000233419,3,0,1,0,9,0,6,0
ENSG00000235263,3,0,0,0,0,0,21,0
ENSG00000228176,0,0,0,1,0,0,0,1
ENSG00000231251,0,0,1,0,2,0,1,0
ENSG00000142675,11,0,24,56,33,0,32,9
ENSG00000197245,7,0,0,0,0,0,7,0
ENSG00000261025,10,0,0,0,8,0,7,1
ENSG00000116237,111,100,388,174,193,262,64,76
ENSG00000158195,950,166,3348,690,1353,1925,509,904
ENSG00000130772,20,0,43,85,55,0,14,53
ENSG00000215899,10,0,1,3,4,0,8,1
ENSG00000237429,0,0,3,0,2,0,0,0
ENSG00000271398,1,0,0,0,7,0,2,0
ENSG00000225011,0,0,0,1,0,0,2,0
ENSG00000240731,0,0,8,0,5,0,1,2
ENSG00000235069,0,0,0,0,0,0,3,0
ENSG00000284676,6,0,0,1,3,0,7,1
ENSG00000237058,11,0,4,0,0,0,7,0
ENSG00000233399,3,25,1,1,0,0,7,0
ENSG00000090020,363,210,844,14,502,1127,136,348
ENSG00000225990,0,0,0,0,0,0,0,0
ENSG00000157978,264,361,507,406,572,5036,170,203
ENSG00000226944,0,0,0,0,0,0,1,0
ENSG00000270282,1,0,1,0,2,0,0,1
ENSG00000130770,32,0,175,214,74,24,61,82
ENSG00000235131,9,0,1,0,6,0,13,0
ENSG00000229044,2,0,0,0,2,0,1,0
ENSG00000162512,30,0,57,15,27,0,37,9
ENSG00000179840,90,1,80,18,177,100,54,140
ENSG00000272449,133,0,334,8,118,109,37,88
ENSG00000214973,8,0,5,0,3,6,12,1
ENSG00000158006,132,184,185,102,198,0,44,93
ENSG00000214812,8,0,11,0,12,0,21,20
ENSG00000142784,503,2,1311,341,627,844,236,426
ENSG00000227950,1,0,0,1,2,0,3,2
ENSG00000126698,112,8,546,108,178,156,75,243
ENSG00000229447,1,0,1,0,4,0,1,2
ENSG00000229607,12,0,1,0,0,0,1,0
ENSG00000229994,4,0,1,0,24,0,5,1
ENSG00000130766,109,14,166,40,123,0,204,477
ENSG00000168528,13,4,26,24,28,0,26,10
ENSG00000196581,27,0,7,59,6,0,20,13
ENSG00000169403,1482,491,4693,596,1831,1539,732,1955
ENSG00000117676,1393,389,2998,311,1736,0,552,1697
ENSG00000225126,0,0,0,0,0,0,0,0
ENSG00000084628,4,0,0,18,7,0,19,0
ENSG00000060688,84,1,269,32,150,0,38,85
ENSG00000171612,9,0,31,89,33,0,26,24
ENSG00000241169,0,0,1,0,3,0,1,2
ENSG00000270927,5,0,0,0,0,0,2,0
ENSG00000188910,17,0,0,9,4,0,21,0
ENSG00000230523,11,0,0,57,2,0,16,3
ENSG00000116138,113,10,212,58,178,178,57,61
ENSG00000231207,1,0,0,0,0,0,0,0
ENSG00000142765,323,225,787,174,559,107,160,284
ENSG00000158161,85,0,247,36,196,0,42,105
ENSG00000270330,0,0,2,0,0,0,0,0
ENSG00000142684,0,0,0,0,0,0,0,0
ENSG00000234619,0,0,0,0,1,0,0,0
ENSG00000121769,36,0,9,24,28,0,11,7
ENSG00000157330,31,0,2,1,14,0,15,1
ENSG00000142627,26,27,32,1,6,0,20,5
ENSG00000284668,15,0,3,2,4,0,12,0
ENSG00000233234,7,0,1,0,1,0,1,0
ENSG00000142632,53,0,32,5,38,0,22,14
ENSG00000234593,4,0,5,23,14,0,11,5
ENSG00000162490,31,0,84,39,40,0,43,5
ENSG00000158292,42,194,27,16,7,0,26,7
ENSG00000270605,5,0,14,0,4,0,5,9
ENSG00000238199,6,199,5,0,8,0,2,4
ENSG00000142733,73,0,143,0,114,0,64,48
ENSG00000189337,52,0,91,0,14,0,36,37
ENSG00000270601,17,0,0,18,10,0,10,1
ENSG00000233268,7,0,12,0,11,0,0,16
ENSG00000232912,16,2,6,0,30,0,15,13
ENSG00000235084,0,0,0,0,0,0,1,1
ENSG00000235143,20,0,0,10,7,0,9,1
ENSG00000225478,0,0,0,0,0,0,0,0
ENSG00000225077,9,0,4,0,21,0,6,1
ENSG00000028137,2843,554,10123,569,3698,87,1175,2017
ENSG00000223944,4,0,3,14,16,0,5,4
ENSG00000238249,0,0,1,0,6,0,2,2
ENSG00000227409,0,0,0,0,0,0,0,0
ENSG00000204464,4,0,1,0,1,0,4,2
ENSG00000233372,4,64,1,0,6,0,9,0
ENSG00000283259,1,0,0,0,0,0,3,0
ENSG00000142687,382,317,935,320,737,0,189,296
ENSG00000284543,13,0,17,69,19,0,22,3
ENSG00000226166,0,0,0,0,0,0,0,0
ENSG00000130939,247,138,655,237,479,227,157,300
ENSG00000175147,12,0,2,33,2,0,24,5
ENSG00000236266,0,0,0,0,0,0,0,0
ENSG00000127472,10,0,1,84,16,0,15,6
ENSG00000231103,8,1,1,9,6,0,8,0
ENSG00000060656,22,1,5,68,22,142,56,7
ENSG00000163867,33,0,84,25,54,119,10,18
ENSG00000232768,0,0,1,0,3,0,0,11
ENSG00000230214,3,0,0,0,0,0,7,0
ENSG00000189280,3,0,7,54,20,75,15,0
ENSG00000134698,693,101,2694,393,970,0,234,767
ENSG00000134690,26,0,11,0,8,0,25,13
ENSG00000272420,1,0,1,0,0,0,0,0
ENSG00000224333,2,0,0,0,0,0,3,0
ENSG00000132881,19,0,67,0,33,0,18,24
ENSG00000273274,21,56,5,0,14,0,19,3
ENSG00000116251,104,1,600,20,270,0,93,238
ENSG00000272510,0,0,0,0,0,0,1,0
ENSG00000158286,17,0,42,40,25,0,57,20
ENSG00000236648,4,0,0,0,5,0,5,1
ENSG00000232273,6,0,11,30,43,0,11,42
ENSG00000009709,15,0,4,17,22,0,32,0
ENSG00000287396,0,0,0,0,0,11,0,1
ENSG00000179002,21,0,2,41,6,0,19,6
ENSG00000223589,0,0,0,0,0,0,3,0
ENSG00000188984,13,44,2,64,15,0,24,4
ENSG00000229259,2,0,0,0,4,0,10,1
ENSG00000270171,8,0,2,18,4,0,9,1
ENSG00000158008,12,0,3,31,2,0,29,4
ENSG00000269732,0,0,0,0,0,0,0,0
ENSG00000130940,73,99,183,34,138,106,92,180
ENSG00000116771,18,0,13,7,20,0,10,8
ENSG00000237301,7,0,0,0,6,0,2,8
ENSG00000162585,84,0,144,63,125,1,53,74
ENSG00000163879,15,12,5,63,30,0,38,20
ENSG00000227527,0,0,0,0,2,0,1,0
ENSG00000169991,225,7,546,44,392,50,182,454
ENSG00000116954,36,0,95,0,54,0,10,34
ENSG00000228589,35,310,111,0,56,0,14,32
ENSG00000163873,56,0,9,200,25,0,93,3
ENSG00000117215,20,0,8,0,15,0,25,3
ENSG00000196449,19,0,94,71,32,0,10,48
ENSG00000250575,5,1,16,1,3,0,0,12
ENSG00000237700,5,0,1,0,9,0,2,0
ENSG00000116661,14,0,16,0,15,0,13,5
ENSG00000230163,0,0,0,0,0,0,0,0
ENSG00000227538,6,3,0,23,4,0,3,0
ENSG00000232208,4,0,14,0,33,1,17,10
ENSG00000236500,0,0,0,0,0,0,0,0
ENSG00000044012,4,0,0,7,2,0,2,0
ENSG00000179051,301,256,971,309,654,369,131,323
ENSG00000215895,8,0,3,1,7,0,6,0
ENSG00000231868,0,0,0,0,0,0,1,0
ENSG00000284650,8,0,1,0,4,2,16,0
ENSG00000237329,14,0,10,0,26,0,0,19
ENSG00000236948,3,0,0,2,2,0,5,0
ENSG00000270850,0,0,0,0,0,0,3,0
ENSG00000126067,42,5,213,131,93,0,43,101
ENSG00000274944,0,0,0,0,0,0,0,0
ENSG00000132906,64,179,99,28,59,30,34,103
ENSG00000197312,131,275,321,19,351,573,80,140
ENSG00000284748,3,0,4,0,1,0,9,3
ENSG00000272078,10,0,6,124,10,0,11,15
ENSG00000173660,60,0,201,73,44,283,60,111
ENSG00000224592,3,0,0,0,0,0,3,0
ENSG00000233728,0,0,0,0,0,0,0,0
ENSG00000230451,6,0,0,56,0,0,4,0
ENSG00000231606,11,0,1,0,2,0,12,0
ENSG00000215900,0,0,0,0,0,0,0,0
ENSG00000092847,458,345,1201,527,987,2098,299,972
ENSG00000284632,2,0,0,0,4,0,1,0
ENSG00000204510,0,0,0,2,0,0,0,0
ENSG00000241014,0,0,3,0,13,0,0,5
ENSG00000054118,1317,383,4654,690,2153,660,768,1565
ENSG00000254553,0,0,0,0,0,0,0,0
ENSG00000230415,5,0,9,0,9,0,6,5
ENSG00000284653,3,0,0,50,8,0,19,1
ENSG00000237749,0,0,3,0,0,0,1,1
ENSG00000276747,21,93,2,18,9,0,13,3
ENSG00000284705,4,0,2,0,8,0,8,4
ENSG00000287828,4,0,0,0,3,0,5,0
ENSG00000228776,0,0,0,0,1,0,4,0
ENSG00000228526,18,0,7,68,16,0,27,6
ENSG00000159339,440,490,1353,1539,376,712,168,440
ENSG00000223814,0,0,0,0,0,0,0,0
ENSG00000197982,16,0,61,1,26,0,10,28
ENSG00000225158,0,0,0,0,0,0,0,0
ENSG00000261781,6,0,0,6,6,0,5,1
ENSG00000183317,17,0,3,55,11,0,67,0
ENSG00000250894,16,0,1,0,13,0,8,3
ENSG00000183386,56,1,431,134,220,210,56,321
ENSG00000284743,1,0,0,0,0,0,10,1
ENSG00000158315,11,122,0,0,18,0,8,3
ENSG00000243749,0,0,0,0,0,0,0,0
ENSG00000204084,191,40,498,43,309,189,89,152
ENSG00000186973,0,109,2,1,0,0,12,3
ENSG00000271806,5,0,8,0,14,0,2,10
ENSG00000146463,206,3,476,133,344,53,106,205
ENSG00000279214,2,0,0,0,0,0,0,0
ENSG00000183520,17,0,117,10,46,0,17,33
ENSG00000271164,3,39,0,0,0,0,2,1
ENSG00000271741,0,0,0,0,0,0,0,0
ENSG00000214141,11,38,4,43,22,0,11,2
ENSG00000142686,36,0,57,0,31,0,29,16
ENSG00000224751,32,0,2,9,3,0,30,3
ENSG00000279096,7,0,0,3,11,0,18,3
ENSG00000117148,11,0,0,0,0,0,6,0
ENSG00000230585,7,2,4,0,1,0,1,0
ENSG00000117000,235,59,625,156,386,43,309,1072
ENSG00000284989,0,0,0,0,0,0,0,0
ENSG00000178585,35,1,86,155,37,18,26,24
ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000092853,15,133,46,63,56,2,27,21
ENSG00000255811,0,0,0,0,0,0,0,0
ENSG00000134697,90,9,266,227,199,171,78,236
ENSG00000187513,9,0,4,0,4,3,8,2
ENSG00000238145,1,0,0,0,1,0,4,0
ENSG00000225142,0,0,0,0,0,0,2,0
ENSG00000230138,5,0,6,0,8,0,9,4
ENSG00000223390,0,0,0,0,4,0,4,1
ENSG00000285823,2,1,0,0,0,0,12,2
ENSG00000284720,12,0,0,0,8,0,10,0
ENSG00000225028,5,0,0,19,2,0,15,0
ENSG00000225671,0,0,0,0,0,0,0,0
ENSG00000116151,57,23,47,43,77,0,71,52
ENSG00000226147,0,0,0,0,0,0,0,0
ENSG00000182873,37,0,69,63,78,0,29,37
ENSG00000286518,8,0,0,39,1,0,17,1
ENSG00000006555,68,0,81,0,107,0,34,19
ENSG00000236111,5,0,1,0,3,0,9,0
ENSG00000066056,32,0,9,45,15,0,46,1
ENSG00000214114,20,4,117,51,85,0,4,26
ENSG00000173436,10,0,39,0,58,109,18,51
ENSG00000116544,13,1,17,0,11,0,13,4
ENSG00000231900,3,0,0,1,8,0,4,3
ENSG00000236723,0,0,0,0,0,0,0,0
ENSG00000232467,0,0,0,0,3,0,2,1
ENSG00000117016,26,123,25,14,27,1,36,9
ENSG00000121310,146,8,198,45,459,0,63,128
ENSG00000169213,22,101,4,35,14,0,31,3
ENSG00000163866,86,126,227,73,109,260,82,172
ENSG00000225779,0,0,0,0,3,0,1,1
ENSG00000284601,9,0,0,0,0,0,11,2
ENSG00000049249,38,0,121,26,30,0,34,27
ENSG00000237130,2,0,0,0,5,0,4,0
ENSG00000143001,0,0,0,0,3,0,0,0
ENSG00000229716,0,0,0,0,0,0,4,0
ENSG00000226133,7,0,6,1,3,0,14,1
ENSG00000227416,0,0,1,0,1,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0
ENSG00000260971,25,0,7,15,23,0,57,1
ENSG00000259832,2,0,0,0,0,0,0,0
ENSG00000284696,21,0,1,11,4,0,11,3
ENSG00000238242,7,0,0,0,1,0,1,1
ENSG00000285839,0,0,0,0,0,0,0,0
ENSG00000237290,14,0,0,0,7,0,16,0
ENSG00000232762,1,0,0,6,7,0,6,3
ENSG00000117419,48,1,143,91,102,0,60,78
ENSG00000162384,69,0,215,38,125,37,80,97
ENSG00000162391,21,0,3,0,2,0,26,7
ENSG00000174348,33,0,17,0,4,0,42,5
ENSG00000154198,0,0,1,3,8,0,9,5
ENSG00000117859,250,158,573,186,372,39,132,380
ENSG00000228121,3,0,0,0,0,0,4,0
ENSG00000253313,3,0,0,0,0,1,1,0
ENSG00000162396,15,0,15,2,17,0,13,1
ENSG00000203995,8,0,1,14,8,0,11,2
ENSG00000227742,17,0,1,15,10,0,10,3
ENSG00000284686,2,0,0,0,0,0,0,0
ENSG00000162378,63,1,315,73,150,42,27,105
ENSG00000233079,0,0,0,0,0,0,5,0
ENSG00000162599,122,92,77,80,200,0,85,42
ENSG00000259818,16,0,8,38,2,0,21,20
ENSG00000229444,1,0,0,0,9,0,3,0
ENSG00000240563,16,85,29,11,0,0,9,1
ENSG00000234318,1,0,0,0,0,0,0,0
ENSG00000284773,1,0,13,8,9,0,10,3
ENSG00000234481,0,0,0,1,4,0,6,0
ENSG00000117862,97,0,470,72,148,4,46,171
ENSG00000235612,0,0,0,0,0,0,0,0
ENSG00000228369,6,0,9,22,1,0,0,1
ENSG00000183431,228,15,966,196,458,213,219,612
ENSG00000227485,0,0,0,0,0,0,0,0
ENSG00000224609,49,0,149,42,84,0,39,37
ENSG00000235545,2,0,2,0,0,0,2,0
ENSG00000236646,1,0,0,0,7,0,8,1
ENSG00000169174,13,0,3,0,18,0,26,4
ENSG00000232198,0,0,0,0,0,0,4,0
ENSG00000231622,0,0,1,0,0,0,0,0
ENSG00000238063,1,0,1,0,10,0,4,7
ENSG00000235804,0,0,0,0,0,0,0,0
ENSG00000227104,2,0,0,30,11,0,5,0
ENSG00000243725,19,133,21,32,34,2,19,2
ENSG00000171872,14,0,0,44,19,0,13,5
ENSG00000162407,10,0,20,0,8,0,4,9
ENSG00000285079,3,0,1,5,3,0,15,4
ENSG00000169218,21,0,2,21,11,0,29,4
ENSG00000163877,135,0,253,30,265,0,83,421
ENSG00000228929,15,0,54,1,11,0,24,22
ENSG00000224570,6,0,0,0,4,0,4,2
ENSG00000224980,6,0,0,0,0,0,0,0
ENSG00000185031,1,0,1,0,14,0,3,3
ENSG00000278967,3,0,1,1,1,0,0,0
ENSG00000157184,37,0,71,2,52,0,41,39
ENSG00000272491,2,0,0,0,11,0,1,3
ENSG00000198815,341,289,1037,72,653,5,229,541
ENSG00000134744,352,176,807,215,887,0,250,582
ENSG00000233910,7,1,0,0,3,0,3,0
ENSG00000287703,14,125,1,31,0,0,9,0
ENSG00000283039,0,0,0,0,5,0,4,0
ENSG00000229032,0,0,0,0,0,0,3,0
ENSG00000229294,0,0,0,0,0,0,0,0
ENSG00000184292,11,312,14,255,10,0,20,45
ENSG00000187140,0,0,0,0,0,0,1,0
ENSG00000226754,8,0,0,75,0,0,15,3
ENSG00000232993,0,0,0,0,0,0,0,0
ENSG00000234088,0,0,0,0,0,0,0,0
ENSG00000236973,19,0,10,0,23,0,12,16
ENSG00000227947,7,0,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0,2,1
ENSG00000271200,0,0,0,0,4,0,3,1
ENSG00000235446,8,0,0,0,1,0,6,0
ENSG00000261196,2,0,0,0,0,0,4,0
ENSG00000224209,11,0,7,6,16,0,12,1
ENSG00000237853,0,0,1,0,7,0,1,0
ENSG00000162385,43,2,372,79,81,0,94,254
ENSG00000231413,1,0,0,0,0,0,0,0
ENSG00000234264,1,103,1,16,0,0,6,0
ENSG00000242391,0,0,0,0,0,0,2,0
ENSG00000223883,9,0,1,24,13,0,16,1
ENSG00000284808,5,0,0,0,6,0,2,1
ENSG00000242267,9,7,0,44,9,0,5,0
ENSG00000237227,0,0,0,0,0,0,0,0
ENSG00000275350,10,0,0,0,0,0,0,0
ENSG00000116652,1,0,5,0,10,0,2,0
ENSG00000203605,1,0,0,0,0,0,0,0
ENSG00000123080,5,38,42,65,21,31,26,31
ENSG00000285778,7,0,0,0,4,0,10,1
ENSG00000077549,986,144,2661,577,1590,2801,415,1392
ENSG00000233407,0,0,0,0,0,0,2,0
ENSG00000225675,2,0,0,0,0,0,2,0
ENSG00000237622,3,0,0,0,0,0,0,0
ENSG00000162598,10,0,2,90,10,0,9,4
ENSG00000280317,0,0,0,0,0,0,2,0
